8403,N12,N161,ADAMBAKKAM,ADAMBAKKAM,OFFICERS COLONY MIDDLE STREET,S_W161_001,12.9948,80.205007,80.2050069,12.9948002,Full
8404,N12,N161,ADAMBAKKAM,ADAMBAKKAM,OFFICERS COLONY MIDDLE STREET,S_W161_002,12.993467,80.203151,80.2031507,12.9934669,Empty
8405,N12,N161,ADAMBAKKAM,ADAMBAKKAM,CITY LINK ROAD,S_W161_001,12.996584,80.206937,80.2069371,12.9965839,Half Full
8406,N12,N161,ADAMBAKKAM,ADAMBAKKAM,CITY LINK ROAD,S_W161_002,12.996591,80.206939,80.2069394,12.9965911,Full
8407,N12,N161,ADAMBAKKAM,ADAMBAKKAM,CITY LINK ROAD,S_W161_003,12.996587,80.20694,80.2069398,12.9965875,Full
8408,N12,N161,ADAMBAKKAM,ADAMBAKKAM,CITY LINK ROAD,S_W161_004,12.997101,80.2071,80.2071004,12.9971009,Empty
8409,N12,N161,ADAMBAKKAM,ADAMBAKKAM,WEST KARIKALAN 2ND STREET,S_W161_001,12.993773,80.199987,80.1999872,12.9937727,Full
8410,N12,N161,ADAMBAKKAM,ADAMBAKKAM,OFFICERS COLONY 3RD STREET,S_W161_001,12.995485,80.206653,80.2066532,12.995485,Half Full
8411,N12,N161,ADAMBAKKAM,ADAMBAKKAM,OFFICERS COLONY 2ND STREET,S_W161_001,12.995809,80.204811,80.2048106,12.9958088,Full
8412,N12,N161,ADAMBAKKAM,ADAMBAKKAM,OFFICERS COLONY 2ND STREET,S_W161_002,12.995838,80.204817,80.2048175,12.9958381,Empty
8413,N12,N161,ADAMBAKKAM,ADAMBAKKAM,GOOD SHED ROAD,S_W161_001,12.994365,80.199069,80.1990689,12.9943648,Full
8414,N12,N161,ADAMBAKKAM,ADAMBAKKAM,WEST KARIKALAN STREET,S_W161_001,12.993577,80.199438,80.1994384,12.9935767,Half Full
8415,N12,N161,ADAMBAKKAM,ADAMBAKKAM,WEST KARIKALAN STREET,S_W161_003,12.992202,80.198895,80.1988949,12.9922025,Empty
8483,N12,N163,ADAMBAKKAM,ADAMBAKKAM,KARNEEGAR STREET,S_W163_004,12.992156,80.201268,80.2012676,12.9921563,Full
8484,N12,N163,ADAMBAKKAM,ADAMBAKKAM,KARNEEGAR STREET,S_W163_005,12.990883,80.201183,80.201183,12.9908829,Full
8485,N12,N163,ADAMBAKKAM,ADAMBAKKAM,RAMAKRISHNAPURAM 2ND STREET,S_W163_001,12.989755,80.203444,80.2034439,12.9897547,Half Full
8486,N12,N163,ADAMBAKKAM,ADAMBAKKAM,RAMAKRISHNAPURAM 2ND STREET,S_W163_002,12.989704,80.203415,80.2034146,12.9897043,Full
